SUA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
2000,5131,4725,9851,19498,18112,37613,6025,5851,11878,2070,2101,4176,27594,26063,53661,13366,12828,26194,4961,5203,10162,2950,3071,6018,21274,21103,42377,733,850,1580,284,709,996,1954,1055,3008,1268,2302,3571,50,57,110,4289,4972,9259,1708,2968,4667,576,1364,1934,304,607,907,1094,3222,4317,16,51,70,3694,8197,11894,538,619,1162,872,1843,2719,38,56,92,1452,2517,3966,34493,31372,65870,97928,98959,196887
2001,198,165,363,718,717,1433,115,136,249,123,137,257,957,982,1940,355,338,693,180,177,356,187,192,376,718,701,1423,18,31,49,3,21,25,70,24,97,34,68,97,0,0,0,126,146,271,128,161,286,29,76,97,18,36,53,50,120,172,7,0,7,224,389,608,43,28,69,41,77,117,0,0,0,79,107,186,595,646,1238,2891,3132,6020
2002,111,94,207,348,356,702,119,118,230,84,60,142,545,531,1073,242,227,465,153,154,303,42,45,89,436,425,860,22,46,65,11,27,38,36,30,69,34,45,78,3,4,3,103,150,251,13,35,51,4,32,31,7,12,20,26,77,99,0,0,0,44,158,201,8,18,27,18,42,59,0,3,7,30,60,90,728,900,1626,1992,2321,4313
2003,861,842,1702,2636,2443,5075,1179,1180,2360,461,476,944,4278,4100,8374,1393,1406,2806,1184,1061,2242,680,733,1420,3262,3205,6466,166,152,312,67,122,184,218,152,369,239,300,534,14,9,21,692,731,1419,1156,1533,2689,386,542,928,113,179,293,401,728,1127,9,4,18,2066,2983,5048,123,113,239,183,299,481,6,3,10,308,419,724,3250,3615,6861,14720,15885,30606
2004,805,716,1521,2633,2439,5073,1065,1013,2082,309,300,606,4011,3755,7763,1877,1781,3657,780,717,1505,393,378,767,3051,2876,5928,182,230,416,109,183,293,253,168,425,198,358,561,9,7,15,757,947,1712,767,1316,2081,219,366,580,73,126,198,275,495,772,7,10,15,1332,2313,3647,83,107,188,151,263,417,8,5,14,240,371,611,3529,3771,7305,13734,14760,28488
2005,111,108,218,275,225,499,244,222,470,4,3,6,525,450,978,171,157,324,202,208,414,0,6,5,369,373,745,9,22,28,0,12,11,35,16,49,27,54,80,3,0,3,78,93,174,10,37,44,9,18,27,3,14,19,19,38,60,0,0,0,43,112,155,5,15,16,18,27,49,0,0,0,28,39,71,461,491,947,1617,1661,3278
2006,149,118,265,531,482,1016,176,218,399,93,103,191,807,801,1606,229,196,420,280,306,590,138,134,271,643,637,1281,18,29,41,9,23,30,57,46,102,37,85,123,3,3,10,122,181,305,39,69,103,16,40,58,5,20,22,28,81,116,3,0,4,87,213,305,12,17,27,24,54,83,0,0,0,34,74,110,812,924,1737,2661,2949,5613
2007,2168,1927,4097,6775,6472,13252,2327,2267,4592,1110,1093,2201,10210,9831,20046,4066,3502,7570,2002,2451,4452,2069,1832,3908,8142,7784,15926,458,528,982,204,421,621,704,391,1094,663,866,1530,7,21,27,2040,2222,4267,2761,3380,6143,960,1119,2078,290,404,694,768,1521,2293,11,30,42,4790,6460,11251,301,375,674,484,869,1352,14,16,35,796,1262,2056,8656,8356,17011,36803,37848,74642
2008,237,179,412,789,678,1465,233,234,464,90,76,162,1108,988,2094,323,332,661,308,248,557,188,162,350,821,745,1564,26,26,48,5,13,18,60,28,90,41,51,91,3,3,3,135,122,254,156,229,384,26,49,71,17,26,45,53,147,195,0,0,0,252,452,703,12,13,26,28,90,121,0,3,3,38,105,146,602,614,1213,3185,3202,6385
2009,127,121,245,457,434,884,119,107,231,130,118,246,702,656,1365,329,307,634,163,129,289,27,39,68,514,477,995,12,12,24,11,15,22,31,19,46,30,35,67,0,0,0,80,78,161,25,59,85,21,28,53,5,30,40,44,74,122,0,0,0,96,197,288,11,21,32,22,59,80,0,0,3,34,78,111,532,563,1098,2089,2169,4256
2010,36430,33712,70136,117574,108984,226556,36226,35496,71722,19805,20509,40316,173606,164999,338599,73995,69554,143548,30141,31303,61439,28504,29455,57960,132636,130316,262955,10616,9693,20311,7191,10224,17416,10193,4715,14909,10918,14174,25087,375,293,669,39293,39102,78398,77416,88025,165443,26558,29714,56266,6248,7803,14047,17889,27946,45835,467,622,1093,128575,154105,282685,8366,10025,18388,10269,19084,29355,269,397,671,18906,29507,48414,136558,140344,276898,666007,692086,1358087
2011,569,560,1130,2085,1967,4057,509,575,1090,313,301,619,2911,2847,5759,1310,1208,2515,354,403,757,253,257,507,1916,1864,3777,117,103,224,71,115,186,167,92,258,140,205,349,3,4,9,506,521,1023,272,465,734,114,188,300,51,75,124,144,291,434,5,7,13,576,1025,1604,127,171,298,127,328,454,3,7,11,259,502,759,2252,2375,4624,8986,9702,18682
2012,496,422,914,1586,1416,3005,363,362,718,181,173,350,2130,1940,4071,1152,1142,2295,360,386,750,83,81,161,1590,1612,3207,99,101,201,49,72,126,136,112,242,158,207,364,3,3,8,442,499,942,105,247,351,42,130,171,27,47,71,83,223,307,0,3,9,261,648,910,58,60,116,55,137,196,10,7,11,123,201,323,2415,2421,4831,7460,7745,15210
2013,77,105,183,440,428,873,138,120,258,18,16,33,599,564,1161,387,397,787,41,29,76,38,38,79,470,465,940,46,49,91,11,33,45,58,33,89,32,52,80,6,4,6,152,167,314,56,78,135,13,35,52,9,18,22,13,49,66,0,0,0,95,185,274,19,11,35,22,65,86,0,4,7,44,78,121,695,701,1398,2131,2263,4385
2014,74,61,132,286,251,537,83,87,168,36,28,65,402,366,766,266,238,501,27,43,73,51,42,95,345,325,670,15,9,26,3,12,13,30,35,63,15,59,69,0,0,0,60,109,169,16,33,46,9,17,31,0,9,12,21,45,64,0,0,0,52,102,152,5,13,12,19,38,60,0,3,3,26,54,73,515,519,1035,1473,1533,3009
2015,154,102,255,397,367,771,168,175,347,61,41,98,633,582,1216,215,208,418,186,172,355,69,90,160,464,471,939,31,18,50,10,13,21,45,27,67,23,74,92,0,0,0,104,135,235,35,60,89,6,32,44,7,17,25,50,105,151,0,0,0,95,213,310,16,25,40,19,52,63,0,0,0,31,73,109,590,607,1193,2071,2182,4258
2016,380,342,720,1559,1414,2977,511,516,1033,126,110,240,2206,2045,4254,939,948,1889,582,549,1129,220,199,420,1742,1693,3434,81,138,224,75,130,205,150,91,244,106,241,346,4,3,10,422,609,1029,136,230,363,53,121,179,20,58,83,106,232,336,3,4,6,314,651,969,79,88,164,78,170,249,7,0,9,161,258,426,2309,2408,4716,7529,8016,15545
2017,75,87,162,263,227,486,128,135,263,16,29,43,401,386,793,227,217,444,112,115,226,8,15,28,346,346,696,9,11,25,6,11,20,35,31,68,40,48,86,3,0,7,104,103,204,16,41,55,4,20,30,9,13,21,10,40,50,0,0,0,42,110,159,6,9,23,17,30,39,0,0,3,27,39,67,636,638,1271,1631,1713,3348
2018,299,265,564,1079,927,2003,494,497,988,119,128,240,1691,1544,3235,611,656,1264,419,401,819,165,162,327,1197,1223,2419,57,75,133,30,73,108,114,81,197,86,156,238,3,0,4,289,387,674,135,252,384,63,128,194,23,60,79,109,180,290,3,0,3,334,619,952,57,37,98,61,131,188,0,0,5,122,172,288,1824,2010,3832,5749,6222,11971
2019,127,151,279,400,327,726,329,281,612,76,94,167,799,700,1504,225,238,466,282,309,585,54,70,128,562,613,1178,35,39,76,10,38,48,46,38,86,39,67,103,0,6,4,139,183,318,42,75,116,17,44,59,4,15,17,36,102,142,0,3,3,98,235,339,14,16,29,19,42,64,0,0,0,34,54,90,723,885,1607,2484,2817,5309
2020,280,285,563,1009,947,1954,321,353,674,221,201,420,1551,1501,3047,588,601,1190,252,272,530,244,276,523,1086,1150,2236,64,67,126,20,66,85,115,68,185,64,154,219,0,0,0,264,359,621,134,239,379,40,134,175,31,44,72,84,200,282,0,3,4,294,623,915,30,48,79,42,98,144,4,0,5,75,146,229,1201,1375,2574,4742,5439,10183
2021,244,203,447,737,675,1416,591,619,1216,66,62,122,1393,1363,2755,684,655,1340,369,427,795,51,55,106,1106,1129,2234,67,88,147,11,71,88,102,70,170,101,188,288,0,3,6,285,420,705,134,249,385,65,100,159,28,35,65,84,179,260,0,0,3,310,566,878,25,21,46,47,86,135,0,4,4,64,114,181,1280,1416,2694,4676,5214,9892
