LGA_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
LGA20110,21,8,3,0,0,0,40,8,3,0,0,3,0,24,17,7,3,0,3,0,33,9,12,7,3,8,0,36,26,12,13,7,5,0,66,35,33,21,14,8,0,116,39,55,22,12,3,0,123,40,68,20,4,4,0,135,45,47,11,3,9,0,114,35,42,27,10,6,3,123,14,32,7,3,0,0,52,27,39,19,3,0,0,83,10,9,7,0,0,0,25,7,5,0,0,0,0,15,10,18,10,5,0,0,50,15,27,10,3,0,0,53,7,8,0,0,0,0,11,3,5,3,0,0,0,9,27,13,12,0,0,0,54,394,451,190,69,52,8,1162
LGA20260,17,21,6,0,0,3,54,10,0,0,0,4,0,11,16,13,12,13,10,0,60,25,15,3,7,5,0,53,38,26,8,5,11,0,98,49,55,15,11,11,3,135,40,54,21,14,10,3,135,33,43,18,4,4,3,111,14,34,7,0,0,0,62,19,42,14,4,0,0,77,11,16,5,0,0,0,32,14,11,6,4,0,0,41,3,12,0,0,0,0,15,0,3,3,0,0,0,6,4,10,0,0,0,0,14,10,13,3,3,0,0,27,3,0,4,0,0,0,12,3,3,3,0,0,0,10,18,19,9,0,5,0,44,328,382,145,66,67,7,997
LGA20570,89,72,49,11,20,0,243,52,28,21,3,16,0,115,106,61,51,12,21,3,261,89,68,48,23,27,3,256,152,143,94,51,61,5,501,221,304,139,89,105,8,853,288,448,155,108,100,7,1110,380,625,155,86,93,13,1348,312,562,143,56,55,13,1141,301,597,134,62,49,5,1142,169,388,71,20,23,5,678,214,460,119,30,26,4,857,61,167,29,10,4,0,270,35,95,24,3,3,0,167,106,223,48,11,9,3,398,90,221,53,10,5,0,376,30,68,21,5,0,0,125,19,58,17,0,0,0,98,101,140,68,28,28,10,370,2812,4726,1441,623,643,72,10321
LGA20660,177,181,146,29,39,3,567,35,35,35,3,21,0,134,73,83,59,11,37,5,269,60,68,62,15,35,0,245,76,104,92,19,41,3,344,105,169,130,33,66,0,498,143,270,159,49,89,7,725,157,320,191,63,74,3,813,165,412,144,55,72,4,852,209,455,180,46,60,6,943,188,380,110,33,42,10,765,340,805,219,57,62,10,1488,184,394,61,28,22,0,687,165,370,75,28,17,9,664,302,692,125,30,24,10,1182,345,1004,221,39,34,7,1645,123,323,108,11,19,5,590,92,292,72,17,9,0,486,118,256,128,23,43,12,577,3062,6631,2319,580,805,96,13482
LGA20740,40,22,18,5,3,0,90,17,3,3,0,3,0,30,41,26,10,9,8,3,93,34,17,10,5,4,0,74,73,45,23,9,20,4,174,81,62,30,20,20,3,213,120,116,37,24,23,4,322,117,144,41,35,23,0,367,72,158,32,26,13,0,298,86,149,32,14,10,0,293,62,76,22,3,7,0,169,71,116,38,6,11,0,247,34,40,12,9,6,0,94,18,18,7,0,0,0,48,31,53,19,3,3,0,121,40,49,10,3,3,0,105,16,25,9,3,0,0,52,13,15,6,0,3,0,40,67,44,19,9,8,3,150,1029,1175,385,196,178,15,2980
LGA20830,105,42,37,16,20,0,216,25,13,6,3,3,0,48,62,27,38,9,11,0,143,40,25,25,12,10,0,120,83,54,45,26,36,3,248,112,120,82,35,31,0,387,174,199,90,49,35,4,555,153,297,87,38,36,0,615,151,333,68,30,30,0,615,149,316,78,35,27,4,607,108,181,48,16,15,3,369,131,253,80,9,7,3,483,52,101,24,11,8,0,190,25,48,14,6,0,0,92,63,146,46,5,5,0,269,73,127,36,7,13,0,252,30,38,8,3,0,0,76,25,28,11,3,3,0,66,72,87,71,18,21,0,270,1643,2433,887,341,316,28,5640
LGA20910,159,155,134,30,29,3,511,19,24,24,0,12,0,75,43,42,47,7,16,0,159,27,44,32,5,18,0,126,53,58,43,11,14,0,179,79,75,57,13,26,6,260,100,156,88,21,34,3,401,91,151,84,22,26,0,370,79,152,98,22,25,7,373,90,151,86,22,22,0,369,66,130,44,16,15,3,272,202,448,177,51,32,7,910,66,153,41,9,10,0,286,99,237,93,23,17,4,465,156,327,93,19,22,3,630,322,993,292,50,47,10,1703,186,691,180,29,30,0,1109,224,992,232,51,38,5,1539,115,284,135,19,29,9,586,2171,5253,1986,412,452,57,10329
LGA21010,22,9,0,0,3,0,43,8,0,0,0,3,0,17,20,3,12,0,8,0,45,17,9,10,4,10,0,38,40,29,19,8,14,0,100,62,39,17,9,9,0,146,69,71,26,10,7,3,193,47,61,23,14,6,3,153,40,36,25,3,3,0,113,27,46,28,8,0,0,110,27,31,13,0,0,0,73,21,32,17,0,11,0,80,12,12,4,3,0,0,31,7,4,0,0,0,0,10,20,20,8,0,0,0,51,3,19,10,0,0,0,30,8,3,0,0,0,0,11,10,3,0,0,0,0,16,32,16,16,6,6,3,78,496,454,221,76,90,7,1341
LGA21110,250,371,281,58,71,29,1068,45,36,44,7,15,0,153,72,79,66,14,18,3,247,64,87,49,21,21,0,244,45,96,72,14,20,4,259,80,102,100,22,26,0,330,118,249,179,30,49,3,630,94,163,122,23,47,4,452,115,234,133,22,39,0,547,118,178,108,17,29,8,447,108,142,67,23,23,4,362,264,579,326,65,71,14,1313,83,163,58,10,20,0,340,128,302,104,30,23,0,588,174,335,134,37,34,8,716,423,1272,445,83,68,15,2310,246,1055,307,67,54,9,1737,319,1702,413,147,98,22,2694,121,405,209,33,56,15,833,2866,7543,3227,710,781,141,15270
LGA21180,203,263,208,77,85,20,854,43,52,65,21,29,3,206,116,108,138,32,73,9,467,98,98,131,48,64,8,444,137,207,213,77,86,12,722,191,305,259,99,136,18,1013,261,497,314,168,196,20,1449,352,665,319,189,191,38,1761,355,843,312,185,179,25,1903,386,883,300,199,154,32,1947,287,641,191,105,80,25,1332,476,1117,401,163,155,31,2346,174,374,97,35,39,7,729,123,288,72,34,29,10,554,233,440,156,42,46,14,934,226,552,228,49,62,10,1127,76,168,68,14,10,5,343,56,119,48,15,13,6,253,191,373,257,93,121,23,1063,3991,7991,3769,1640,1751,293,19438
LGA21270,4,15,5,0,0,0,31,11,4,3,0,0,0,15,15,15,4,0,4,0,38,22,17,7,9,3,0,61,24,39,3,7,6,3,89,28,24,4,0,3,0,61,10,23,3,5,0,0,44,3,19,0,0,0,0,25,4,13,0,0,0,0,12,3,3,0,0,0,0,8,0,4,0,0,0,0,5,3,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,7,8,9,3,3,5,0,26,147,191,48,31,24,8,444
LGA21370,78,46,28,10,5,5,167,14,5,6,3,4,0,38,49,20,16,5,6,0,109,40,30,21,9,12,0,111,93,76,51,23,20,0,256,116,125,62,27,34,0,370,122,190,82,37,35,0,465,142,224,86,20,27,0,508,119,196,46,25,17,3,408,104,161,45,19,15,0,345,55,100,18,9,3,3,189,73,141,39,4,5,3,268,15,49,12,0,7,0,77,16,17,8,0,3,0,38,23,53,11,4,0,0,95,41,65,21,0,4,0,132,5,21,3,0,3,0,39,9,21,4,0,0,0,41,75,71,26,15,12,3,191,1199,1604,587,211,223,23,3840
LGA21450,111,96,62,15,21,0,303,34,30,21,11,15,0,110,62,47,53,13,27,3,198,58,47,46,19,27,3,197,75,104,80,25,50,0,336,135,150,122,50,62,7,524,170,303,132,72,64,7,743,258,495,175,113,99,9,1155,318,711,187,85,90,13,1412,404,870,219,95,82,12,1674,334,765,139,54,50,14,1350,420,903,250,69,48,13,1703,175,408,113,33,14,3,746,108,254,58,19,8,6,447,218,449,149,26,20,4,865,196,430,144,33,21,0,820,71,117,52,7,9,3,259,36,75,32,4,3,0,156,165,228,127,37,41,5,595,3353,6480,2142,772,751,101,13609
LGA21610,347,440,315,64,101,18,1280,109,78,115,21,36,3,366,222,182,190,53,95,6,743,149,163,172,29,87,9,609,289,334,355,109,166,11,1266,392,613,469,148,180,13,1810,504,928,548,200,265,26,2476,727,1629,718,243,325,34,3688,865,2122,718,278,249,36,4262,1030,2728,726,280,256,50,5069,888,2375,567,175,154,35,4194,1319,3317,961,228,218,46,6089,548,1470,336,87,57,16,2513,420,1034,284,52,34,14,1832,582,1475,509,101,79,12,2758,543,1386,504,97,85,20,2635,154,413,143,22,23,11,766,99,304,105,17,13,0,545,372,756,436,116,126,34,1841,9552,21734,8163,2314,2558,410,44732
LGA21670,13,6,10,3,3,0,46,11,7,0,0,7,0,25,31,16,11,11,7,0,85,30,13,12,9,11,0,80,57,34,18,15,16,0,139,65,78,30,16,18,3,197,47,62,20,15,19,0,173,43,52,18,12,10,0,133,21,42,13,11,6,0,92,17,41,13,6,4,0,80,11,14,0,0,0,0,31,7,24,11,0,0,0,48,0,12,0,0,0,0,18,0,3,0,0,0,0,3,3,11,0,0,0,0,18,0,10,0,0,0,0,7,3,3,0,0,0,0,3,3,0,0,0,0,0,3,18,16,15,7,6,0,65,393,441,181,111,113,8,1243
